2026-09-01;10A;ALMALÉ;1;500
2026-09-01;10A;SZENDVICS;1;850
2026-09-01;10A;SZENDVICS;1;850
2026-09-01;10A;TEA;1;400
2026-09-01;10B;ALMALÉ;3;500
2026-09-01;10B;SZENDVICS;1;850
2026-09-01;10C;MÜZLISZELET;1;360
2026-09-01;10C;PÉKSÜTEMÉNY;1;390
2026-09-01;10C;PÉKSÜTEMÉNY;1;390
2026-09-01;10C;SZENDVICS;1;850
2026-09-01;10C;ÁSVÁNYVÍZ;2;350
2026-09-01;11B;CSOKI;1;420
2026-09-01;11B;PÉKSÜTEMÉNY;1;390
2026-09-01;11B;SZENDVICS;1;850
2026-09-01;11B;ÁSVÁNYVÍZ;1;350
2026-09-01;12A;JOGHURT;2;480
2026-09-01;12A;KAKAÓ;1;450
2026-09-01;12B;KAKAÓ;1;450
2026-09-01;12B;PÉKSÜTEMÉNY;2;390
2026-09-01;12C;ALMALÉ;1;500
2026-09-01;12C;CSOKI;1;420
2026-09-01;12C;SZENDVICS;1;850
2026-09-01;12C;TEA;2;400
2026-09-01;12C;ÁSVÁNYVÍZ;3;350
2026-09-01;9A;MÜZLISZELET;2;360
2026-09-01;9A;SZENDVICS;1;850
2026-09-01;9B;JOGHURT;2;480
2026-09-01;9B;JOGHURT;1;480
2026-09-01;9B;KAKAÓ;2;450
2026-09-01;9B;ÁSVÁNYVÍZ;1;350
2026-09-01;9C;CSOKI;1;420
2026-09-02;10A;CSOKI;4;420
2026-09-02;10A;PÉKSÜTEMÉNY;2;390
2026-09-02;10A;PÉKSÜTEMÉNY;1;390
2026-09-02;10A;SZENDVICS;1;850
2026-09-02;10B;CSOKI;1;420
2026-09-02;10B;KAKAÓ;1;450
2026-09-02;10B;MÜZLISZELET;1;360
2026-09-02;10B;MÜZLISZELET;1;360
2026-09-02;10B;PÉKSÜTEMÉNY;1;390
2026-09-02;10C;MÜZLISZELET;2;360
2026-09-02;10C;ÁSVÁNYVÍZ;1;350
2026-09-02;11A;PÉKSÜTEMÉNY;2;390
2026-09-02;11A;PÉKSÜTEMÉNY;1;390
2026-09-02;11A;ÁSVÁNYVÍZ;3;350
2026-09-02;11A;ÁSVÁNYVÍZ;1;350
2026-09-02;11B;ALMALÉ;2;500
2026-09-02;11B;JOGHURT;1;480
2026-09-02;11B;SZENDVICS;2;850
2026-09-02;11B;ÁSVÁNYVÍZ;2;350
2026-09-02;11B;ÁSVÁNYVÍZ;1;350
2026-09-02;11C;MÜZLISZELET;2;360
2026-09-02;11C;SZENDVICS;3;850
