2025-09-01;1114;B165;2025-09-17
2025-09-01;1072;B119;2025-10-01
2025-09-01;1078;B139;2025-09-16
2025-09-02;1026;B061;2025-09-26
2025-09-02;1150;B069;2025-10-03
2025-09-02;1022;B126;2025-09-20
2025-09-02;1069;B148;2025-09-29
2025-09-03;1062;B144;2025-09-10
2025-09-03;1077;B088;2025-09-10
2025-09-03;1019;B086;2025-10-07
2025-09-04;1020;B070;2025-09-17
2025-09-04;1121;B002;2025-09-11
2025-09-04;1025;B094;2025-09-12
2025-09-05;1146;B180;2025-10-04
2025-09-05;1014;B118;2025-09-18
2025-09-05;1046;B002;2025-09-16
2025-09-05;1111;B020;2025-09-27
2025-09-05;1128;B020;2025-09-25
2025-09-05;1121;B154;2025-09-24
2025-09-05;1064;B146;2025-09-25
2025-09-05;1010;B067;2025-09-26
2025-09-05;1037;B091;2025-09-28
2025-09-05;1108;B170;2025-10-03
2025-09-09;1037;B151;2025-09-22
2025-09-09;1099;B044;2025-10-14
2025-09-09;1160;B060;2025-10-11
2025-09-09;1166;B086;2025-10-11
2025-09-09;1096;B035;2025-09-27
2025-09-09;1089;B063;2025-10-04
2025-09-10;1032;B027;2025-10-10
2025-09-10;1072;B083;2025-10-11
2025-09-10;1022;B006;2025-10-11
2025-09-10;1173;B150;2025-10-12
2025-09-10;1120;B027;2025-09-25
2025-09-10;1026;B092;2025-09-22
2025-09-10;1120;B086;2025-10-13
2025-09-11;1061;B159;2025-10-07
2025-09-11;1116;B069;2025-09-24
2025-09-11;1176;B025;2025-09-30
2025-09-11;1173;B128;2025-10-02
2025-09-11;1038;B175;2025-09-23
2025-09-12;1132;B022;2025-09-23
2025-09-12;1103;B170;2025-10-09
2025-09-12;1074;B161;2025-09-27
2025-09-12;1092;B036;2025-10-07
2025-09-12;1091;B034;2025-09-21
2025-09-12;1111;B150;2025-09-20
2025-09-12;1068;B039;2025-09-19
2025-09-12;1038;B162;2025-10-05
2025-09-12;1124;B088;2025-09-21
2025-09-12;1051;B171;2025-09-19
2025-09-12;1132;B045;2025-10-16
2025-09-12;1141;B131;2025-10-03
2025-09-12;1103;B008;2025-10-15
2025-09-15;1123;B178;2025-09-26
2025-09-15;1147;B021;2025-09-24
2025-09-16;1041;B178;2025-10-01
2025-09-16;1012;B166;2025-10-14
2025-09-16;1169;B011;2025-10-17
2025-09-16;1123;B143;2025-10-20
2025-09-17;1153;B045;2025-10-11
2025-09-17;1107;B035;2025-10-09
2025-09-17;1085;B158;2025-10-20
2025-09-17;1144;B157;2025-10-13
2025-09-17;1089;B106;2025-10-10
2025-09-18;1105;B096;2025-10-07
2025-09-18;1126;B140;2025-10-08
2025-09-19;1127;B071;2025-10-01
2025-09-19;1174;B034;2025-10-18
2025-09-19;1079;B129;2025-10-07
2025-09-19;1012;B080;2025-10-18
2025-09-19;1032;B179;2025-10-13
2025-09-19;1152;B151;2025-10-06
2025-09-19;1049;B016;2025-10-21
2025-09-19;1022;B084;2025-10-14
2025-09-19;1124;B005;2025-10-07
2025-09-22;1004;B128;2025-10-19
2025-09-22;1131;B158;2025-10-27
2025-09-22;1015;B051;2025-10-16
2025-09-22;1044;B022;2025-10-27
2025-09-23;1002;B155;2025-10-05
2025-09-23;1020;B063;2025-10-26
2025-09-23;1085;B174;2025-10-16
2025-09-23;1058;B172;2025-10-05
2025-09-24;1174;B038;2025-10-18
