2025-01-01;Miskolc;2.0;69;5.4;0.0
2025-01-01;Eger;-2.3;65;3.1;0.0
2025-01-01;Győr;-1.3;56;6.5;0.0
2025-01-01;Budapest;-6.6;65;7.2;1.4
2025-01-01;Szeged;-1.7;65;4.9;0.0
2025-01-01;Debrecen;-0.9;73;3.7;0.0
2025-01-01;Pécs;-2.0;70;1.0;0.0
2025-01-01;Szombathely;-5.1;55;3.2;0.0
2025-01-02;Miskolc;-3.7;100;1.5;0.5
2025-01-02;Eger;-4.0;73;4.1;0.0
2025-01-02;Győr;-2.0;83;5.5;0.9
2025-01-02;Budapest;4.9;71;3.1;1.3
2025-01-02;Szeged;-3.9;82;5.3;0.0
2025-01-02;Debrecen;-4.4;47;5.3;0.0
2025-01-02;Pécs;-2.2;47;5.4;1.4
2025-01-02;Szombathely;-6.6;52;3.8;3.0
2025-01-03;Miskolc;-9.6;82;4.5;0.0
2025-01-03;Eger;-5.8;68;3.6;0.0
2025-01-03;Győr;-4.3;61;4.6;5.1
2025-01-03;Budapest;-2.9;73;3.2;0.0
2025-01-03;Szeged;-3.7;97;5.2;0.0
2025-01-03;Debrecen;0.6;78;5.0;2.1
2025-01-03;Pécs;-1.0;96;3.5;0.0
2025-01-03;Szombathely;-3.3;68;3.9;3.4
2025-01-04;Miskolc;-0.9;68;1.2;3.1
2025-01-04;Eger;3.1;62;4.1;7.7
2025-01-04;Győr;-5.1;56;4.3;0.0
2025-01-04;Budapest;5.8;77;2.7;0.0
2025-01-04;Szeged;-1.6;74;2.2;0.0
2025-01-04;Debrecen;0.6;55;4.9;4.1
2025-01-04;Pécs;-1.8;45;7.7;0.0
2025-01-04;Szombathely;-4.7;67;6.0;4.3
2025-01-05;Miskolc;-5.6;73;5.5;0.0
2025-01-05;Eger;-1.8;65;2.6;0.0
2025-01-05;Győr;-4.3;65;6.2;0.0
2025-01-05;Budapest;-2.4;68;4.3;2.2
2025-01-05;Szeged;0.7;74;2.6;7.4
2025-01-05;Debrecen;-0.3;74;3.3;2.8
2025-01-05;Pécs;0.9;81;1.9;1.4
2025-01-05;Szombathely;0.3;60;7.0;0.0
2025-01-06;Miskolc;3.7;73;3.4;6.3
2025-01-06;Eger;-3.2;100;3.7;9.3
2025-01-06;Győr;1.0;82;7.0;0.0
2025-01-06;Budapest;4.8;84;3.8;0.0
2025-01-06;Szeged;3.5;72;4.8;0.0
2025-01-06;Debrecen;-3.8;77;4.0;0.0
2025-01-06;Pécs;2.9;70;2.9;0.0
2025-01-06;Szombathely;-2.4;54;8.8;6.9
2025-01-07;Miskolc;-5.7;77;1.5;1.1
2025-01-07;Eger;-3.5;65;4.8;0.0
2025-01-07;Győr;-5.0;68;6.2;0.0
2025-01-07;Budapest;-5.8;68;7.3;16.0
2025-01-07;Szeged;0.0;66;2.3;0.0
2025-01-07;Debrecen;-6.3;51;4.3;0.9
2025-01-07;Pécs;-1.8;70;3.6;0.0
2025-01-07;Szombathely;1.9;60;4.8;0.0
2025-01-08;Miskolc;-4.7;73;9.2;0.0
2025-01-08;Eger;-4.1;80;1.0;0.1
2025-01-08;Győr;-1.0;81;5.5;2.0
2025-01-08;Budapest;-3.2;70;4.4;0.0
2025-01-08;Szeged;-5.4;87;5.5;0.0
2025-01-08;Debrecen;-6.7;100;2.4;0.0
2025-01-08;Pécs;1.4;70;1.5;5.6
2025-01-08;Szombathely;-7.4;50;0;0.0
2025-01-09;Miskolc;0.8;63;3.2;4.6
2025-01-09;Eger;-1.8;76;0;0.0
2025-01-09;Győr;-1.8;87;5.7;0.0
2025-01-09;Budapest;-2.0;56;5.4;0.0
2025-01-09;Szeged;5.1;75;5.0;0.0
2025-01-09;Debrecen;-2.9;71;3.0;0.0
2025-01-09;Pécs;-3.4;63;4.5;0.0
2025-01-09;Szombathely;6.0;63;3.8;11.3
2025-01-10;Miskolc;-4.5;63;7.2;5.6
2025-01-10;Eger;-4.5;56;5.0;0.0
2025-01-10;Győr;-3.2;96;6.4;0.0
2025-01-10;Budapest;1.1;78;2.3;0.0
2025-01-10;Szeged;0.8;72;5.1;3.1
2025-01-10;Debrecen;-2.6;90;1.9;0.0
2025-01-10;Pécs;1.3;72;1.3;0.0
2025-01-10;Szombathely;-4.0;100;3.1;0.0
2025-01-11;Miskolc;-6.4;62;6.3;0.3
2025-01-11;Eger;2.6;85;8.0;0.0
2025-01-11;Győr;-0.9;82;4.9;2.2
2025-01-11;Budapest;4.6;82;3.6;0.0
2025-01-11;Szeged;-2.4;91;1.4;0.0
2025-01-11;Debrecen;-2.2;74;5.5;3.3
2025-01-11;Pécs;-0.8;61;5.8;0.0
2025-01-11;Szombathely;-10.8;81;2.6;12.9
2025-01-12;Miskolc;-6.0;64;2.2;0.7
2025-01-12;Eger;-4.0;86;4.8;0.0
2025-01-12;Győr;-3.5;93;0.6;0.0
2025-01-12;Budapest;-8.9;79;4.5;0.0
2025-01-12;Szeged;0.2;61;7.2;0.0
2025-01-12;Debrecen;0.1;73;3.0;0.0
2025-01-12;Pécs;2.2;72;0.2;5.4
2025-01-12;Szombathely;-0.6;60;2.5;0.0
2025-01-13;Miskolc;-3.8;88;7.6;0.0
2025-01-13;Eger;-7.4;81;2.7;2.6
2025-01-13;Győr;0.5;92;0;0.0
2025-01-13;Budapest;-1.2;77;5.2;0.0
2025-01-13;Szeged;-4.3;82;3.5;2.3
2025-01-13;Debrecen;2.8;51;7.0;0.5
2025-01-13;Pécs;0.4;74;5.4;0.0
2025-01-13;Szombathely;-7.7;72;1.9;0.0
2025-01-14;Miskolc;-4.9;87;1.4;0.0
2025-01-14;Eger;1.0;90;0;0.0
2025-01-14;Győr;-5.3;83;4.9;0.0
